__label__joy	No ! I am on my way to the reserve room . Thanks again !
__label__joy	thanks . Cheers .
__label__joy	Great idea . But the fact is we have no barbecue with us . Moreover , the sashimi will be great . So why do we bother to waste time on barbecuing the fish ?
__label__joy	That ’ s great . You ’ re a lifesaver .
__label__surprise	I can't believe how stupid you are . Why didn't you open the box ?
__label__surprise	Really ? well , ok , you're welcome .
__label__sadness	I can't . I am really behind of my work .
__label__joy	Thanks . I'll need a while to choose . Could you come back in a minute ?
__label__joy	Let's go .
__label__joy	You're welcome .
__label__sadness	I'm sorry sir , but we are fully booked tonight until eight .
__label__joy	Such a lovely girl . I hope my Paul is lucky enough to find a girl like that someday !
__label__joy	Of course .
__label__joy	That sounds good . It will give my wife a chance to dress up .
__label__surprise	What's the occasion ? You won the lottery ?
__label__joy	Yeah , but so what ! I ’ m proud to live in the world ’ s most exciting city . And , the salaries here are the highest in the nation , too .
__label__surprise	How amazing !
__label__surprise	You must be joking . Those two ?
__label__joy	I love it . It's so festive ! And where did you get that cup ? It's got the same logo as the car .
__label__joy	You bet . Now that you mentioned it , I think I'll call her now and see if she is available tonight .
__label__joy	Oh , sorry , sir.We take no tips here.Thank you all the same .
__label__joy	Perfect . Thank you , goodbye !
__label__joy	Yeah , and meet other drivers of the same car !
__label__joy	It was good to see you here , John .
__label__joy	Sure . I thought people only showed off pictures of their new babies , not new pets !
__label__surprise	but surely they won't fire you ! You're one of the most experienced managers here !
__label__joy	What good sunshine ! Let's go and get a suntan on the balcony .
__label__joy	You must have a wonderful time .
__label__joy	Great . I would like that .
__label__joy	Right , a disco is a place where people dance according to nonstop recorded music ...
__label__joy	Yeah , I guess I did . They're going to buy invoking ?
__label__joy	I am glad you are happy .
__label__joy	And I'm glad to meet you , too .
__label__joy	It's a good idea . But where can we donate money ?
__label__joy	I trust you . We'll be happy .
__label__joy	Yes , I suppose we must . I have enjoyed all these days that you have spent with me , and I'll always remember them . I've learned a lot from you . Thank you for all your kindness .
__label__joy	That's terrific . Thank you .
__label__joy	I'm so glad to meet you .
__label__joy	My sister did it . When did you get yours cut ?
__label__joy	I'd be glad to .
__label__joy	I guess working with so much money has made me rather greedy . Maybe losing my job would be a good thing !
__label__sadness	No .
__label__joy	Yes , let's get something to eat .
__label__anger	Trust you ! You can't even handle simple plane reservations !
__label__anger	to be honest , I'm a bit fed up .
__label__joy	That would be a definite bonus .
__label__joy	That ’ s a good idea .
__label__joy	I suppose this song can be the No . 1 on the top chart .
__label__joy	Thank you .
__label__joy	Right , she is so excited and simply can ’ t wait .
__label__joy	See you !
__label__sadness	Oh , my God ! I feel nothing is going smooth .
__label__surprise	Oh really ? Is he all right ?
__label__joy	OK . I'll take it . Thank you .
__label__joy	Well , I love it . The room is spacious and clean with big windows and a lot of sunshine . There are plants along the corridor . Especially , I got my own desk with computer and telephone . Such a great place !
__label__joy	I ’ m happy to meet you . It seems everyone in town is so friendly .
__label__sadness	I'm afraid I can only rent it for two months .
__label__joy	That will be six dollars . Out of ten-seven , eight , nine , ten . Thank you .
__label__joy	I'll show you how . The bar tenders know whose turn it is . And also , I can snap my fingers to catch his attention .
__label__joy	Oh , that's so great , bless you ! if you need me , I'll always be there .
__label__joy	Thank you .
__label__surprise	Oh , I see him now . Wait ! That's ...
__label__joy	Later this month . I can't wait !
__label__sadness	Sorry again for bothering you .
__label__joy	Good . Thank you.sir .
__label__joy	OK . If you really insist , I could always use the company .
__label__joy	No , thanks .
__label__joy	Yes . I thought it was excellent . Didn't you ?
__label__sadness	I am sorry , sir . You bought it 2 weeks ago , and you can only refund it in one week .
__label__joy	I don't know . I think the woman was better . She provided a good love interest . Lucky James Bond !
__label__joy	I liked it . I thought it was great .
__label__joy	Well , you are lucky to have such a considerate husband . Mine hasn't brought me a single rose since we married .
__label__sadness	I'm sorry , sir .
__label__joy	Thanks , this is a fine party . We should have a drink together to celebrate your birthday
__label__joy	And here's her signature !
__label__sadness	I ’ m afraid I ’ m already booked up for next Sunday . But thank you just the same .
__label__joy	Thank you .
__label__sadness	I don ’ t know what happened to me . I just lost it .
__label__joy	David , would you like something to eat ?
__label__joy	Thanks . Some tea would be nice . Chinese tea is great . I really like your tea set . Where did you get it ?
__label__joy	The music has started .
__label__joy	Sure , you ’ re more than welcome . I ’ m meeting everyone at three o ’ clock .
__label__joy	Thank you .
__label__sadness	Oh , poor Alan ! His sister is the only one he has left since his parents died last year .
__label__joy	If I have a chance , I'll enjoy the book .
__label__joy	Yes , I usually develop and print all my own photos .
__label__joy	Playing tennis twice a week will be a good start . Count me in .
__label__joy	Whatever brought us together , I'm happy .
__label__joy	Thanks . I'll get back to you .
__label__joy	Thank you very much .
__label__joy	Hello baseball fans , and welcome back to today ’ s game ! My name is Rick Fields and of course , I am here , once again , with the man that seals the deal , Bob Copeland . '
__label__disgust	So they create viruses to tell people they are smart ? That's really sick .
__label__joy	I like him.He ' s good for her .
__label__joy	Yes , I did .
__label__anger	That maybe true , and I for one don ’ t want to see anyone lose their job , but how can these Ces ask for a bailout when they ’ re making millions of dollars ? And then , they have the nerve to fly to Washington in private jets ! This costs hundreds of thousands of dollars ! And they ’ re asking for money ! That is just not right !
__label__fear	You think it's funny . I'm terrified .
__label__joy	Hello . I'm Jason .
__label__joy	Thanks .
__label__joy	The park is so beautiful . It is a good thing I have taken the camera .
__label__joy	Thanks . It was very nice to meet you .
__label__joy	That sounds simple enough . It's Friday today , I'll be back on Monday morning , first thing , with all of the relevant data . See you then , and enjoy your weekend .
__label__joy	Mmm , that sounds very interesting .
__label__joy	Great ! We will send you all the details later . Looking forward to meeting with you !
__label__joy	Thank you !
__label__joy	She is beautiful .
__label__joy	I'm Mary . I want to say I really admire the software you're designed .
__label__joy	I suggest you take this book . It's very exciting .
__label__joy	How do you like Tom ?
__label__surprise	That's incredible ! She has such a sharp figure .
__label__sadness	Yeah , but nothing was clear during the test .
__label__joy	He had barely survived the third audition and finally got a chance to advance in the contest . Fortunately , in the third audition , he has won popularity among the audience . And that's when I started to notice him .
__label__joy	Francis , you have done an outstanding work in the past six months . In view of your achievement , I trust you ’ re now indispensable part of our company and you deserve an officer director title .
__label__fear	I'm worried that everything will be chaotic !
__label__joy	Oh , my dear , how can I forget such an important day ? I was just kidding . Look at this box .
__label__joy	It has been a pleasure . Goodbye .
__label__joy	Because I am loved by the most beautiful girl in the world !
__label__joy	Thanks very much . There ’ s thirteen dollars .
__label__joy	Well then , I'll see you on Saturday . Thanks for asking me to go with you .
__label__joy	Fine , I'll be expecting you .
__label__joy	Listen , it's almost dinnertime.There are lots of restaurant around here.What do you want to try ? Italian ? Greek ? Japanese ? Thai ?
__label__joy	Hm , It looks nice , but I ’ d like to have something warm for the winter .
__label__surprise	How things have changed now !
__label__joy	I am sure it will be . It's been good so far this weekend .
__label__joy	Enjoy your stay .
__label__joy	Yes . And what dances do you like best ?
__label__surprise	You're kidding ! I can't believe you've been standing this entire time and didn't say anything .
__label__joy	I hope so .
__label__joy	You are welcome .
__label__joy	Yes , it is . How do you know that ?
__label__joy	Sure . Here you go .
__label__joy	No problem .
__label__joy	congratulations ! Which one is the cheapest ?
__label__anger	John , I ’ Ve asked you not to smoke in here ! I don ’ t want to see you smoking in my office again .
__label__joy	Hello , Steven . Congratulations !
__label__joy	I ’ ll be very glad if you would help .
__label__joy	Merry Christmas to you .
__label__joy	I really love their dancing . They are all excellent dancers .
__label__joy	Really ?
__label__joy	Thanks . Well , those two kids are beginners . What should I do about their safety ?
__label__joy	Yes , I received the scholarship 3 times on end .
__label__joy	That sounds great .
__label__joy	Thank you .
__label__surprise	Oh , really ?
__label__surprise	Are you serious ?
__label__joy	Great . I look forward to meeting you .
__label__joy	Thank you very much . Bye .
__label__joy	Thank you so much for coming tonight . Everybody really enjoyed your performance .
__label__joy	Well , you look great ! How are you ?
__label__joy	It ’ s a beautiful day here in New Zealand at the Men ’ s Volleyball world championship . My name is Rick Fields and I ’ m joined by the man with the plan , Bob Copeland .
__label__joy	Yes , I did , thanks .
__label__joy	We really were lucky . We got the last available table for two---and we didn't even have a reservation ! Did you see the long lines behind us ?
__label__joy	thanks !
__label__joy	That is wonderful .
__label__joy	Thank you very much .
__label__sadness	it gives me a lot of pressure and I feel depressed .
__label__joy	Yes . It's perfect .
__label__joy	Well , I hope you have a wonderful time on your library visits !
__label__joy	What a beautiful sweater !
__label__joy	Thank you for your advice . I ’ ll try it .
__label__joy	How about Bill's Seafood Restaurant ?
__label__surprise	You're going to kick me out over this ?
__label__joy	I appreciate it very much . You've been doing great . I expect to see you be promoted pretty soon .
__label__joy	If ever you ’ re in Chicago , please do look me up .
__label__joy	Sure . I think it ’ s a fantastic place to go .
__label__joy	Don't mention it .
__label__joy	It sounds interesting . Can I go and see it ?
__label__joy	Well , I'll try gin and tonic .
__label__joy	You are welcome .
__label__anger	Yes , me too . I think I ’ Ve lost some important clients recently because of this train !
__label__joy	I ’ m glad you are getting better .
__label__joy	You are welcome
__label__joy	Happy Valentine's Day !
__label__joy	I went to Jessie's birthday party yesterday . It was very good .
__label__joy	what are all they for ?
__label__joy	Sounds good . Thanks .
__label__joy	Sure , thanks .
__label__surprise	That's cool . Have you already found an apartment to live in ?
__label__joy	Of course . I will prepare a good gift for the new arrival .
__label__joy	wow , it that your sports car ?
__label__joy	It's snowing outside .
__label__joy	see , now something good has happened to you on a bus trip !
__label__joy	How can I forget my old friend ?
__label__joy	Great idea ! Peter , I could use the drink .
__label__joy	oh , i like this music very much , let's tango .
__label__joy	Sounds good . I'll see you on Wednesday then .
__label__joy	I am glad you are here ! See if you can find the problem .
__label__joy	Yes , Thursday would be fine . What time shall I come ?
__label__joy	Thank you very much . I have been looking for it for a long time.Is this the latest edition ?
__label__joy	I have many hobbies . I like almost all kinds of sports and I also like to listen to classical music .
__label__joy	Here's your change . Thank you .
__label__joy	that sounds pretty easy . Do rabbits make your house smell ?
__label__joy	Fine , I'll be expecting you .
__label__joy	You ’ re right . I would have to travel to the city at least once a week to go shopping and see friends . I would hate living in the country !
__label__joy	You ’ re welcome .
__label__joy	I ’ ll appreciate your help
__label__joy	Well , you are flattering me . I wouldn't say I am a professional , but I did receive some training at school . My music teacher used to be a professional singer .
__label__surprise	really ? Have you won a fortune in the lottery ?
__label__joy	I'm a big fan of Snoop Dog .
__label__joy	Yes , I ’ m feeling very well these days .
__label__joy	I see . Thank you .
__label__anger	I want to change rooms . In fact , I want a refund for tonight !
__label__joy	OK . Here is the money . Thank you very much .
__label__surprise	What are you talking about ?
__label__joy	Fantastic ! I ’ ll be there !
__label__joy	He sure is !
__label__surprise	I feel a little overwhelmed by so many papers .
__label__anger	Oh , no !
__label__joy	No , thanks . I ' Ve had enough . I'll have my bill , please .
__label__sadness	Sorry to hear that , I was really looking forward to spending some more time with you , I really enjoyed our last chat .
__label__joy	You came to the right place . Any particular decade ?
__label__joy	We ate a lot of things . We played games and gave gifts to Jessie . We had a lot of fun .
__label__joy	That's good !
__label__sadness	It's a huge headache . I have no idea what I want to do .
__label__joy	I'm going to see a musical . Would you like to come ?
__label__joy	You ’ re a real friend in need .
__label__disgust	What do you think of the new television channel ? Aren't the programs awful ?
__label__fear	Steven , I ...
__label__joy	Hi ! Wang Mei.Come and have a look at my new dress .
__label__joy	I'm glad I was able to help .
__label__joy	No problem .
__label__surprise	Really ?
__label__surprise	Oh dear ! Where should I go from here ?
__label__joy	A glass of white wine would be fine , thank you .
__label__joy	Yeah . People always enjoy the lighted lanterns and the gala performances .
__label__joy	See you at 7
__label__joy	Sure.Where would you suggest ?
__label__joy	I see . Thank you .
__label__joy	Thanks .
__label__joy	All right . Thanks a lot .
__label__joy	No . I haven ’ t had the pleasure .
__label__joy	Don't hurry . Wait for my call .
__label__joy	OK . Wait for a moment , please . I'll be back in a moment with the dishes .
__label__joy	Good idea . Shall we get everyone in the community ?
__label__joy	Oh , Tom ! They sound fantastic . I really like all those things .
__label__joy	Her lips ? The early morning rose would wither on the branch if it could feel envy .
__label__joy	It ’ s fine . I am actually from Mexico . I was in China on a business trip , visiting some local companies that manufacture bathroom products .
__label__joy	It looks delicious .
__label__joy	The ref signals the start of the game and here we go . Ribero serves and China quickly receives the ball . Chen bumps it to the setter , and ... a very nice set by Chen !
__label__surprise	Really ? Too expensive . I don't think I can afford it .
__label__sadness	I told you I ’ m sorry . What can I do to make it up to you ?
__label__joy	Thanks .
__label__joy	I am so happy for them .
__label__joy	Based on your contribution , I would like to give you a pay raise . Your monthly salary will be increased by 800 Yuan . This increase includes an 80 % married increase based on your achievements and increase responsibilities and then the additional 20 % increase were reflecting the changes in cost of living .
__label__surprise	What are you talking about ? We had a great time . We laughed and talked all night last time .
__label__joy	Thank you . You're very kind .
__label__joy	It would be a rare occasion to be able to appreciate so many fine species of Chinese and foreign flowers fully blooming in one park !
__label__fear	Yes . My bike has one under the seat . Get it , quick !
__label__joy	My absolutely favorite kind of pie is apple .
__label__surprise	I just thought I would ask .
__label__joy	No problem .
__label__joy	Right . Let's help each other .
__label__anger	Fine ! I can't believe you don't trust me .
__label__joy	It's very kind of you .
__label__sadness	Probably not . Doing that will probably take another three hours which I can't afford now .
__label__joy	You're right.The air is so warm and everything looks so fresh and green .
__label__joy	When did you learn to dance ?
__label__joy	Yeah . Have you made any good resolutions for this new year ?
__label__joy	Oh , that ’ s great . Thanks Grace . Can you give me her number ? I ’ ll talk it over with Dan and give her a call tomorrow . Maybe this way I won ’ t be so tired every day , and Dan and I might even get to go
